StoreID;StoreCode;StoreName;DITOStoreID;Address;Province;PriceRegion;StoreTypeID;StateID;Country;ReportingStatus;Column1;_1;_2;_3;_4;_5;_6;_7;_8;_9;_10
642;5LDD;RIVERHORSE VALLEY CONV CENTRE;642;1 Queen Nandi Dr, Riverhorse Valley, Newlands East, 4000.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
643;7PHD;RASLOUW CONVENIENCE CENTRE;643;Cnr R55 &, Lochner Rd, Centurion, 0157.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
644;2EVH;SIBANYE SERVICE STATION;644;Koyana St, Zwide 3, Port Elizabeth, 6061.;CAPE EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - CAPE EAST;Cape East;SOUTH AFRICA;TRUE;;;;;;;;;;;
645;5LEA;NORTH RIDGE CONVENIENCE CENTRE;645;Cnr Kenneth Kaunda Rd &, Christo Groenewald St, Helicon Heights, Bloemfontein, 9301.;FREESTATE;ENGEN - QUICKSHOP WITH WW;ENGEN - QUICKSHOP WITH WW - FREESTATE;Freestate;SOUTH AFRICA;TRUE;;;;;;;;;;;
646;5NFJ;OAK CONVENIENCE CENTRE;646;932 Chestnut Cres, Sithundu Hill, Pinetown, 3610.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
647;6CLT;ARMSTRONG THREE FILLING STATION;647;394 Adams Rd, Evaton Central, Evaton;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
648;9ABA;HENLEY CROWTHORNE STN;648;Cnr Main Rd &, Arthur Ave, Crowthorne AH, Midrand, 1685.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
649;7QAN;STADIUM FILLING STATION;649;Carl Cronje Dr, Bellville, Cape Town, 7530.;INLAND NORTH;ENGEN - E-SHOP;ENGEN - E-SHOP - INLAND NORTH;Inland North;SOUTH AFRICA;TRUE;;;;;;;;;;;
650;5LDV;VRYHEID JUNCTION CONVENIENCE CENTRE;650;R33 AND R34.VRYHEID;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
651;7PDP;TSAKANE MALL CONVENIENCE CENTRE;651;Cnr Modjadji &, Malandela St, Tsakane, Brakpan, 1550.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
652;7PDH;KWA GUQA CONVENIENCE CENTRE;652;Cnr Mathews Phosa & Kd Ndhlovu St, Kwa-Guqa, Emalahleni, 1073.;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
653;5LDT;MINE OWN CONVENIENCE CENTRE;653;17 OTTO VOLEK STREET.PINETOWN;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
654;6CHJ;HARRIS AVENUE MOTORS;654;Cnr Harris Ave &, Erasmus Rd, Eden Glen, Edenvale, 1609.;GAUTENG CENTRAL;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG CENTRAL;Gauteng Central;SOUTH AFRICA;TRUE;;;;;;;;;;;
655;5PUU;STEERS GLENUGIE;655;6 Glenugie Road. Pinetown 3600.;EASTERN REGION;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - EASTERN REGION;Eastern region;SOUTH AFRICA;TRUE;;;;;;;;;;;
656;8BAH;SONLIG SERVICE STATION;656;69 BOTHA STREET.MEYERVILLE;GAUTENG EAST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG EAST;Gauteng East;SOUTH AFRICA;TRUE;;;;;;;;;;;
657;8BHW;XILUVA CONVENIENCE CENTRE;657;Cnr Martin &, Nobel Blvd, Vanderbijlpark, 1911.;GAUTENG SOUTH WEST;ENGEN - QUICKSHOP;ENGEN - QUICKSHOP - GAUTENG SOUTH WEST;Gauteng South West;SOUTH AFRICA;TRUE;;;;;;;;;;;
